,UMAP1,UMAP2,UMAP3,cluster_label,Planet
1257,8.14869,3.3772008,6.2022853,4,bet Pic b
1258,10.89534,-0.38793525,5.924976,3,bet UMi b
1259,10.881675,0.7860167,6.5172286,0,eps Tau b
1260,10.840504,0.73083127,6.409424,0,gam Lib b
1261,10.868263,1.0242559,6.718508,0,gam Lib c
1262,10.882219,0.7959815,6.379776,0,gam Psc b
1263,10.458314,1.60958,5.8082705,4,iot Dra b
1264,8.091415,3.332716,6.106265,4,iot Dra c
1265,10.960985,2.5381622,6.884905,0,kap CrB b
1266,10.988082,2.5664792,6.876959,0,kap CrB b
1267,11.010394,0.60290563,6.834979,0,mu Leo b
1268,10.918819,0.6780533,6.5642614,0,nu Oph b
1269,10.929701,0.6540887,6.511962,0,nu Oph b
1270,10.562857,1.7235328,6.498922,4,nu Oph c
1271,10.601494,1.7296954,6.4805393,4,nu Oph c
1272,11.013235,0.5971477,6.7499137,0,ome Ser b
1273,10.879167,0.80687696,6.410283,0,omi CrB b
1274,10.729756,1.3617077,6.567443,4,omi UMa b
1275,12.308023,11.814056,3.2399225,0,pi Men c
1276,10.553083,11.623032,3.471136,0,rho CrB c
1277,10.081386,10.243188,3.3701146,0,rho CrB c
1278,10.759838,11.755172,3.5123365,0,rho CrB d
1279,9.971641,9.834651,3.2811337,0,rho CrB e
1280,12.904351,10.246883,1.61558,0,tau Boo b
1281,12.322267,10.80033,2.3142042,0,ups And b
1282,9.455775,7.163737,3.4222434,0,ups And c
1283,9.361009,4.676228,4.880368,4,ups And d
1284,10.849771,0.9883874,6.1903596,4,ups Leo b
1285,10.9972925,0.5842032,6.9572635,0,xi Aql b
